CZ0009055158|Gross yield per unit for 12/31/2010 [CZK]|51.31
CS0008416251|Admission price [CZK]|4.000.00
CS0008416251|Date of listing|6/22/1993
CS0008416251|Maximal price for the last year [CZK]|1.10
CS0008416251|Minimal price for the last year [CZK]|0.78
CS0008416251|Market Capitalization [mil. CZK]|884.009
CS0008416251|P/E|0
CS0008416251|Gross yield per unit for 12/31/2003 [CZK]|1.530.00
GB00BF5SDZ96|Admission price [CZK]|68.60
GB00BF5SDZ96|Date of listing|10/23/2013
GB00BF5SDZ96|Maximal price for the last year [CZK]|85.75
GB00BF5SDZ96|Minimal price for the last year [CZK]|39.35
GB00BF5SDZ96|Market Capitalization [mil. CZK]|9.600.000
GB00BF5SDZ96|P/E|9.64
GB00BF5SDZ96|Gross yield per unit for 12/31/2014 [EUR]|0.03
CZ0009093209|Admission price [CZK]|576.50
CZ0009093209|Date of listing|3/1/1995
CZ0009093209|Maximal price for the last year [CZK]|261.00
CZ0009093209|Minimal price for the last year [CZK]|69.20
CZ0009093209|Market Capitalization [mil. CZK]|76.717.420
CZ0009093209|P/E|19.25
CZ0009093209|Gross yield per unit for 12/31/2014 [CZK]|13.00
SK1120010287|Admission price [CZK]|1.085.00
SK1120010287|Date of listing|10/22/2012
SK1120010287|Maximal price for the last year [CZK]|695.00
SK1120010287|Minimal price for the last year [CZK]|550.00
SK1120010287|Market Capitalization [mil. CZK]|4.225.535
SK1120010287|P/E|200.82
SK1120010287|Gross yield per unit for 10/31/2012 [EUR]|1.06
CZ0005088559|Admission price [CZK]|46.20
CZ0005088559|Date of listing|3/1/1995
CZ0005088559|Maximal price for the last year [CZK]|898.00
CZ0005088559|Minimal price for the last year [CZK]|790.00
CZ0005088559|Market Capitalization [mil. CZK]|1.203.972
CZ0005088559|P/E|8.33
CZ0009091500|Admission price [CZK]|115.00
CZ0009091500|Date of listing|8/28/1997
CZ0009091500|Maximal price for the last year [CZK]|192.00
CZ0009091500|Minimal price for the last year [CZK]|121.55
CZ0009091500|Market Capitalization [mil. CZK]|29.049.829
CZ0009091500|P/E|0
CZ0009091500|Gross yield per unit for 12/31/2007 [CZK]|17.65
BE0003878957|Admission price [CZK]|398.00
BE0003878957|Date of listing|12/7/2007
BE0003878957|Maximal price for the last year [CZK]|400.00
BE0003878957|Minimal price for the last year [CZK]|360.00
BE0003878957|Market Capitalization [mil. CZK]|6.689.898
BE0003878957|P/E|5.01
BE0003878957|Gross yield per unit for 12/31/2009 [EUR]|0.28
AT0000908504|Admission price [CZK]|1.393.00
AT0000908504|Date of listing|2/5/2008
AT0000908504|Maximal price for the last year [CZK]|1.172.00
AT0000908504|Minimal price for the last year [CZK]|676.00
AT0000908504|Market Capitalization [mil. CZK]|86.528.000
AT0000908504|P/E|9.21
AT0000908504|Gross yield per unit for 12/31/2014 [EUR]|1.40
